"Montagu's harrier":"Circus pygargus"
"Hen harrier":"Circus cyaneus"
"Northern harrier":"Circus hudsonius"
"Western marsh harrier":"Circus aeruginosus"
"Eastern marsh harrier":"Circus spilonotus"
"African marsh harrier":"Circus ranivorus"
"Swamp harrier":"Circus approximans"
"Papuan harrier":"Circus spilothorax"
"Malagasy harrier":"Circus macrosceles"
"Réunion harrier":"Circus maillardi"
"Long-winged harrier":"Circus buffoni"
"Spotted harrier":"Circus assimilis"
"Black harrier":"Circus maurus"
"Cinereous harrier":"Circus cinereus"
"Pallid harrier":"Circus macrourus"
"Pied harrier":"Circus melanoleucos"


